episode,return
1,-337.9099721984114
2,-450.3004535260776
3,-444.3844520482514
4,-310.51070481473636
5,-390.489744596079
6,-344.174011649753
7,-330.5428862422064
8,-266.7182878259257
9,-368.6300986893245
10,-260.66964757780516
11,-296.33447705859794
12,-254.9951918934072
13,-336.8801924938739
14,-419.16229244689833
15,-405.6291059671215
16,-414.58386249993924
17,-404.3568462004392
18,-297.05841887804064
19,-455.47769859425273
20,-346.0712628679632
21,-368.02083820588206
22,-428.0893182021982
23,-414.24418612469805
24,-373.2895881343705
25,-261.55424264424414
26,-306.23381716189397
27,-378.9008456599782
28,-230.51455774991308
29,-377.69415540205205
30,-322.3082953648739
31,-261.74713166184574
32,-288.3982383809865
33,-289.043454621749
34,-280.00215605712515
35,-374.44074385996987
36,-332.56905582585506
37,-329.4975200683787
38,-255.82650354826706
39,-228.72325705973964
40,-260.18721087665773
41,-311.158980010704
42,-277.1635843257599
43,-223.1543561210373
44,-170.94071035002634
45,-203.58842355700105
46,-205.53044570622964
47,-89.34172021020913
48,-111.11157177063764
49,-96.63176494363483
50,-99.40295662633551
51,-116.93200431273715
52,-124.7229451339922
53,-149.99984374748988
54,-78.73647022990622
55,-5.586459530467966
56,-74.2117204538319
57,-32.490660691739905
58,-122.39589239225238
59,-13.343735232306535
60,-22.3451152445559
61,105.7890632134828
62,48.91135246365021
63,-77.65361930537972
64,35.94551032275072
65,6.144611340413231
66,149.3955633972502
67,143.20939079602124
68,128.79584302622504
69,84.69800027945598
70,72.20498220375447
71,97.77127544324237
72,303.3279663050892
73,22.429740582535267
74,-13.434397764275076
75,117.57636082768913
76,92.9637811511755
77,206.13947304946154
78,167.0508299500546
79,122.65207652795947
80,101.48658771809328
81,87.8738711569685
82,137.3693403175689
83,14.175035195425444
84,170.58919363007294
85,207.5343625161654
86,-111.24841824352531
87,261.30796814268933
88,171.40936723242663
89,149.0564297266622
90,-10.992286971597892
91,110.11397953237935
92,314.87002757174423
93,169.37038071884515
94,188.81747449161332
95,193.07735966096118
96,165.20198117759878
97,213.9481168730606
98,330.2083460261073
99,206.0944120911406
100,231.54998693315753
101,166.5489555292126
102,264.78596723914757
103,180.64411699665402
104,192.98061083461272
105,280.58314838630065
106,221.07820420990484
107,290.73592779415605
108,198.42016262995202
109,258.66257909356165
110,294.8068319189183
111,319.4937847194559
112,245.44120284493715
113,177.98220267961125
114,216.79587442229342
115,322.09945823730516
116,262.7727154753517
117,170.2023042113995
118,242.67568431361866
119,273.69907296749426
120,194.1587919119081
121,124.93678696704086
122,318.8602036623166
123,228.49459929209667
124,348.62793076788086
125,184.07314493181272
126,348.2021386482364
127,290.52126112392784
128,302.525859580308
129,237.2539710442303
130,368.6281114944376
131,288.07383431322637
132,272.34993458438646
133,301.4452520245395
134,199.51003682074466
135,327.2747811445378
136,246.0403844115333
137,326.98735942727114
138,292.7014586594056
139,295.1922822642597
140,395.91786073517767
141,374.0744495863298
142,366.7048655135708
143,369.1565876868518
144,366.7560603555192
145,269.44941731999995
146,348.202214476491
147,244.0747648744006
148,102.43349876486012
149,302.80579802671724
150,-138.55296102211918
151,286.5353555087938
152,367.54590301396416
153,298.8535951800425
154,363.09853760627743
155,446.5024813323044
156,267.6736126607524
157,337.39823242725566
158,364.4160284212287
159,302.62360079300925
160,298.5187123436825
161,250.40962772642752
162,257.08356638103373
163,334.25282625386734
164,282.8538895339242
165,304.40676401761465
166,129.8636308278567
167,323.7710861906694
168,221.22374377515965
169,294.51433120040656
170,185.995498641417
171,267.62027505891314
172,370.79929657177547
173,387.55813639183316
174,369.6559909210738
175,390.56509954082685
176,86.10674143796454
177,316.86161240251977
178,272.6694620110188
179,332.8433299688704
180,269.8509026301596
181,304.0784972155416
182,316.7790793035731
183,357.46283021911563
184,438.4767034001716
185,361.93433372898744
186,345.82056303459876
187,290.4581741103502
188,384.1980098179554
189,359.9457370680469
190,399.6171586586562
191,330.8318738735018
192,363.6484717132215
193,386.3098487322909
194,387.50985734967685
195,312.5306938906597
196,250.02919570222352
197,409.47189607657117
198,316.5809965471707
199,414.2596792095244
200,367.37746256823357
201,250.62026246829723
202,385.11700220052956
203,351.39670120540643
204,291.8482824506554
205,385.3453830727932
206,351.36828764711936
207,312.39442276419845
208,353.6927353894929
209,367.7350645329741
