episode,return
211,-441.9840523164911
212,-666.785719362364
213,-564.9752958031926
214,-496.34790015951876
215,-492.6237752497573
216,-666.5346024904336
217,-560.4604338640329
218,-383.8857328709976
219,-428.90176378452486
220,-564.0622056429606
221,-693.9598664869777
222,-476.0236011406237
223,-372.1459364814204
224,-380.8012709573439
225,-423.1349905262374
226,-376.28134015467447
227,-655.9963731292322
228,-626.2006953604948
229,-496.26797919266454
230,-419.7528167316944
231,-616.769473679147
232,-492.37272614768915
233,-477.59630503631314
234,-631.1411765424235
235,-546.26617047292
236,-672.720562072761
237,-549.2472367162422
238,-401.08273635235076
239,-694.3280651631763
240,-663.1580495302314
241,-457.291962618969
242,-682.1863563092085
243,-582.5931372974133
244,-701.2377804699785
245,-662.9260515036591
246,-521.8927395202377
247,-454.62068279514864
248,-679.8296030632522
249,-391.565180516607
250,-607.1047842424268
251,-567.8289298229895
252,-496.3224100229388
253,-724.3174263588149
254,-573.7012983346067
255,-579.7300586061333
256,-697.3365831447745
257,-561.9804781934901
258,-559.7627873162928
259,-672.4786068032423
260,-482.4240151819951
261,-562.3662607126491
262,-422.83063211181354
263,-754.517782142975
264,-662.5140992464989
265,-622.900070993921
266,-635.8293985743829
267,-649.4620673351072
268,-478.4092528080725
269,-666.3890174340098
270,-939.9110951895822
271,-567.8422460681277
272,-565.0945339636526
273,-505.07640660815883
274,-586.8769732580611
275,-710.4623073147491
276,-632.9745805155661
277,-610.778589703057
278,-560.2448231325276
279,-514.1380803542235
280,-617.5359566507998
281,-617.6190113355169
282,-645.1875654569193
283,-731.444739591071
284,-594.2072154976024
285,-625.6156503202506
286,-537.61756760547
287,-651.0560270746464
288,-297.25608571073474
289,-586.3589810495397
290,-692.1537170668311
291,-634.2229010359064
292,-574.8080284615462
293,-515.0412168354535
294,-676.4849394664344
295,-588.1462419692857
296,-570.9453859905047
297,-470.6541796404302
298,-459.4690450300303
299,-617.8698845026938
300,-585.0014579317937
301,-409.51628221277406
302,-543.5111160773258
303,-606.5031586384714
304,-541.2118932915105
305,-522.7373610145185
306,-617.3327063215612
307,-768.5089367974246
308,-438.7836887276514
309,-451.13860756692077
310,-675.1946975794988
311,-620.4919194925398
312,-560.0657895113096
313,-612.8404342387114
314,-206.17376989106447
315,-712.7303983359247
316,-800.8455934248133
317,-633.018906786973
318,-560.6795346300737
319,-588.6860658086133
320,-707.4818987125907
321,-540.4302693132856
322,-730.6278336443204
323,-544.6162680539178
324,-556.902852801326
325,-485.49553873624484
326,-572.1593575346271
327,-444.17731999394675
328,-678.8208178664327
329,-572.837446587119
330,-712.227627149925
331,-613.2453191642661
332,-682.8581818365305
333,-579.0304924019011
334,-580.3303806849758
335,-641.5280140087077
336,-693.5379685700086
337,-519.3349604195563
338,-584.8815059654469
339,-416.29678727518404
340,-615.426458009763
341,-566.421604369737
342,-409.3962390580796
343,-647.1854908774029
344,-673.9097863937233
345,-617.826553087667
346,-533.3083866231556
347,-836.257164416965
348,-467.75130433536197
